latitude,longitude,title
-27.594055,-48.562879,"Praia do Rita Maria"
-27.602192,-48.553307,"Praia do Miramar"
-27.609686,-48.548595,"Prainha"
-27.612660,-48.547872,"Praia do José Mendes"
-27.614699,-48.545442,"Praia do Curtume"
-27.614177,-48.534667,"Praia do Saco dos Limões"
-27.623724,-48.529139,"Praia do Ferrujo"
-27.634085,-48.528138,"Praia da Costeira do Pirajubaé"
-27.644404,-48.541210,"Praia de Caiacangamirim"
-27.688338,-48.569125,"Praia da Tapera"
-27.694164,-48.565960,"Praia do Garcia"
-27.650935,-48.554950,"Praia da Tipitinga"
-27.695284,-48.561783,"Praia do Saco"
-27.696293,-48.554690,"Praia das Flecheiras"
-27.699645,-48.552320,"Praia do Contrato"
-27.705182,-48.556403,"Praia do Barro Vermelho"
-27.717038,-48.563729,"Praia do Ribeirão da Ilha"
-27.729078,-48.562884,"Praia do Rita"
-27.725295,-48.564532,"Praia do Doutor Ivo"
-27.731405,-48.562387,"Praia do Itaqui"
-27.742194,-48.558735,"Praia do Seu Ernesto"
-27.746423,-48.559433,"Praia do Seu Lino Cunha"
-27.752345,-48.561500,"Praia a Costeira do Ribeirão"
-27.760378,-48.574379,"Praia do Caiacangaçu"
-27.764408,-48.577556,"Praia de Fora da Ponta do Caiacangaçu"
-27.770233,-48.573329,"Praia da Sinhá"
-27.780310,-48.572640,"Praia da Tapera do Sul"
-27.792379,-48.559899,"Praia Grande"
-27.812912,-48.559531,"Praia da Caieira da Barra do Sul"
-27.815019,-48.561052,"Praia do Seu Norberto"
-27.827908,-48.568555,"Praia do Defunto"
-27.834088,-48.563347,"Praia dos Naufragados"
-27.836914,-48.558873,"Praia do Saco da Baleia"
-27.829993,-48.545862,"Praia do Saquinho"
-27.814396,-48.540275,"Praia do Saco do Caldeirão"
-27.803649,-48.536392,"Praia do Rio das Pacas"
-27.782712,-48.521636,"Praia do Pântano do Sul"
-27.773181,-48.486289,"Praia da Lagoinha do Leste"
-27.754656,-48.498534,"Praia do Saco do Matadouro"
-27.748777,-48.505048,"Praia da Armação"
-27.716228,-48.503096,"Praia do Morro das Pedras"
-27.693393,-48.483055,"Praia do Campeche"
-27.629403,-48.448736,"Praia da Joaquina"
-27.613440,-48.433477,"Praia do Gravatá"
-27.603668,-48.433614,"Praia Mole"
-27.592731,-48.425219,"Praia da Galheta"
-27.574120,-48.421034,"Prainha do Leste"
-27.572792,-48.425375,"Praia da Barra da Lagoa"
-27.494633,-48.396272,"Praia do Moçambique"
-27.462468,-48.376421,"Praia do Santinho"
-27.436030,-48.390579,"Praia dos Ingleses"
-27.398779,-48.413677,"Praia Brava"
-27.389184,-48.425280,"Praia da lagoinha da Ponta das Canas"
-27.397875,-48.432756,"Praia da Ponta das Canas"
-27.416543,-48.430347,"Praia da Cachoeira"
-27.427386,-48.461162,"Praia de Canasvieiras"
-27.429218,-48.478112,"Praia de Canajerê"
-27.437526,-48.495570,"Praia de Jurerê"
-27.434992,-48.520295,"Praia do Forte"
-27.445612,-48.526479,"Praia da Ponta Grossa"
-27.457637,-48.542838,"Praia do Pontal do Jurerê"
-27.472521,-48.532147,"Praia do Rola"
-27.486071,-48.538480,"Praia do Sinfrônio"
-27.489493,-48.537994,"Praia do Posto do Sambaqui"
-27.490844,-48.531514,"Praia do Sambaqui"
-27.507558,-48.520108,"Praia de Santo Antônio de Lisboa"
-27.522060,-48.523591,"Praia Comprida"
-27.532689,-48.525521,"Praia do Cacupé Pequeno"
-27.541092,-48.526902,"Praia do Cacupé Grande"
-27.560052,-48.517559,"Praia do Saco Grande"
-27.572796,-48.527889,"Praia da Ponta do Lessa"
-27.571011,-48.537126,"Praia da Ponta do Recife"
-27.579119,-48.544395,"Praia da Pedra Grande"
-27.583736,-48.546864,"Praia de São Luís"
-27.586212,-48.552835,"Praia de Fora"
-27.590536,-48.563095,"Praia do Müller"
-27.591882,-48.563380,"Praia do Arataca"
-27.728712,-48.511279,"Praia do Parque da Lagoa do Peri"
-27.543012,-48.460180,"Praia da Costa da Lagoa"
-27.605716,-48.464842,"Praia do Centro Ou da freguesia da Lagoa"
-27.606217,-48.462765,"Praia das Areias da lagoa ou das Rendeiras"
-27.609283,-48.446425,"Praia do Retiro da Lagoa"
-27.611387,-48.474116,"Praia do Baixio da Lagoa"
-27.626358,-48.476156,"Praia do Canto da Lagoa"
-27.576662,-48.586596,"Praia do Balneário"
-27.579153,-48.575651,"Praia da Ponta do Leal"
-27.588971,-48.574680,"Praia do Matadouro"
-27.607849,-48.575167,"Praia do Riso"
-27.611129,-48.580471,"Praia da Saudade"
-27.613445,-48.585019,"Praia do Meio"
-27.615334,-48.585837,"Praia do Castelinho"
-27.616718,-48.590403,"Praia de Itaguaçu"
-27.615652,-48.595965,"Praia das Palmeiras"
-27.611475,-48.597368,"Praia do Bom Abrigo"
-27.607912,-48.596295,"Praia das Furnas".
